Test;Size;Time (µs);GB/s
Read Throughput SRAM 0;10120;2198072;0.727911
Scalar Read Throughput SRAM 0;10120;2794833;0.572485
Read Throughput;10120;502196;3.186007
Scalar Read Throughput;10120;1002724;1.595654
Write Throughput SRAM 0;10120;880543;1.817061
Scalar Write Throughput SRAM 0;10120;2794554;0.572542
Write Throughput;10120;502295;3.185379
Scalar Write Throughput;10120;1002724;1.595654
Read Throughput SRAM 0;10620;2353237;0.679915
Scalar Read Throughput SRAM 0;10620;2960957;0.540366
Read Throughput;10620;502105;3.186584
Scalar Read Throughput;10620;1002621;1.595817
Write Throughput SRAM 0;10620;880615;1.816912
Scalar Write Throughput SRAM 0;10620;2960960;0.540365
Write Throughput;10620;502205;3.185950
Scalar Write Throughput;10620;1002622;1.595816
Read Throughput SRAM 0;11140;2506605;0.638314
Scalar Read Throughput SRAM 0;11140;3118203;0.513116
Read Throughput;11140;502023;3.187105
Scalar Read Throughput;11140;1002529;1.595964
Write Throughput SRAM 0;11140;880273;1.817618
Scalar Write Throughput SRAM 0;11140;3118776;0.513022
Write Throughput;11140;502121;3.186483
Scalar Write Throughput;11140;1002531;1.595961
Read Throughput SRAM 0;11692;2653236;0.603037
Scalar Read Throughput SRAM 0;11692;3273054;0.488840
Read Throughput;11692;501945;3.187600
Scalar Read Throughput;11692;1002447;1.596094
Write Throughput SRAM 0;11692;880492;1.817166
Scalar Write Throughput SRAM 0;11692;3272920;0.488860
Write Throughput;11692;502044;3.186972
Scalar Write Throughput;11692;1002448;1.596093
Read Throughput SRAM 0;12268;2758013;0.580128
Scalar Read Throughput SRAM 0;12268;3379348;0.473464
Read Throughput;12268;501875;3.188045
Scalar Read Throughput;12268;1002368;1.596220
Write Throughput SRAM 0;12268;880412;1.817331
Scalar Write Throughput SRAM 0;12268;3379428;0.473453
Write Throughput;12268;501970;3.187442
Scalar Write Throughput;12268;1002368;1.596220
Read Throughput SRAM 0;12872;2800212;0.571385
Scalar Read Throughput SRAM 0;12872;3419176;0.467949
Read Throughput;12872;501797;3.188540
Scalar Read Throughput;12872;1002284;1.596354
Write Throughput SRAM 0;12872;880219;1.817729
Scalar Write Throughput SRAM 0;12872;3418715;0.468012
Write Throughput;12872;501897;3.187905
Scalar Write Throughput;12872;1002285;1.596352
Read Throughput SRAM 0;13504;2853139;0.560786
Scalar Read Throughput SRAM 0;13504;3470949;0.460969
Read Throughput;13504;501716;3.189055
Scalar Read Throughput;13504;1002184;1.596513
Write Throughput SRAM 0;13504;879910;1.818368
Scalar Write Throughput SRAM 0;13504;3471608;0.460882
Write Throughput;13504;501815;3.188426
Scalar Write Throughput;13504;1002184;1.596513
Read Throughput SRAM 0;14172;2885455;0.554505
Scalar Read Throughput SRAM 0;14172;3500385;0.457093
Read Throughput;14172;501651;3.189468
Scalar Read Throughput;14172;1002114;1.596625
Write Throughput SRAM 0;14172;879996;1.818190
Scalar Write Throughput SRAM 0;14172;3500093;0.457131
Write Throughput;14172;501750;3.188839
Scalar Write Throughput;14172;1002114;1.596625
Read Throughput SRAM 0;14868;2874232;0.556670
Scalar Read Throughput SRAM 0;14868;3473150;0.460677
Read Throughput;14868;501592;3.189844
Scalar Read Throughput;14868;1002050;1.596727
Write Throughput SRAM 0;14868;880147;1.817878
Scalar Write Throughput SRAM 0;14868;3472967;0.460701
Write Throughput;14868;501692;3.189208
Scalar Write Throughput;14868;1002052;1.596724
Read Throughput SRAM 0;15604;2861081;0.559229
Scalar Read Throughput SRAM 0;15604;3445925;0.464317
Read Throughput;15604;501529;3.190244
Scalar Read Throughput;15604;1001980;1.596838
Write Throughput SRAM 0;15604;880095;1.817986
Scalar Write Throughput SRAM 0;15604;3446305;0.464265
Write Throughput;15604;501628;3.189615
Scalar Write Throughput;15604;1001981;1.596837
Read Throughput SRAM 0;16372;2835721;0.564230
Scalar Read Throughput SRAM 0;16372;3403078;0.470163
